#0.2391	 N = 20000 	 frac = 5	 start = 150	 lenght = 400
#L 	 F_mod 	 dF_mod
1	0.33512	0.0208242
2	1.21601	0.018446
3	1.87256	0.0171676
#0.2391	 N = 20000 	 frac = 5	 start = 150	 lenght = 400
#L 	 F_mod 	 dF_mod
1	0.306952	0.0215153
2	1.17787	0.0167751
3	1.87013	0.0173553
4	2.43598	0.0164208
5	3.05382	0.0179132
6	3.69567	0.0236758
#beta = 0.2391	 N = 20000 	 frac = 5	 start = 150	 lenght = 400
#L 	 F_mod 	 dF_mod
1	0.338684	0.0230507
2	1.17092	0.0172169
3	1.8232	0.017158
4	2.4368	0.0172146
5	3.0633	0.0198525
#beta = 0.2391	 N = 20000 	 frac = 5	 start = 150	 lenght = 400
#L 	 F_mod 	 dF_mod
10	7.27689	0.0868172
