#	 mag	 abs_mag	 b.c.
-0.800781	0.800781	1
-0.800781	0.800781	1
0.730469	0.730469	1
0.730469	0.730469	1
-0.721354	0.721354	1
-0.721354	0.721354	1
0.766927	0.766927	1
0.766927	0.766927	1
0.709635	0.709635	1
0.709635	0.709635	1
-0.699219	0.699219	1
-0.699219	0.699219	1
-0.691406	0.691406	1
-0.691406	0.691406	1
0.755208	0.755208	1
0.755208	0.755208	1
0.753906	0.753906	1
0.753906	0.753906	1
-0.723958	0.723958	1
-0.723958	0.723958	1
0.717448	0.717448	1
0.717448	0.717448	1
0.714844	0.714844	1
0.714844	0.714844	1
-0.670573	0.670573	1
-0.670573	0.670573	1
-0.661458	0.661458	1
-0.661458	0.661458	1
-0.66276	0.66276	1
-0.66276	0.66276	1
-0.132812	0.132812	1
0.30599	0.30599	-1
-0.230469	0.230469	-1
0.602865	0.602865	1
-0.66276	0.66276	1
-0.66276	0.66276	1
0.639323	0.639323	1
0.639323	0.639323	1
-0.667969	0.667969	1
-0.667969	0.667969	1
0.615885	0.615885	1
0.615885	0.615885	1
0.608073	0.608073	1
0.608073	0.608073	1
-0.674479	0.674479	1
-0.674479	0.674479	1
-0.675781	0.675781	1
-0.675781	0.675781	1
0.61849	0.61849	1
0.61849	0.61849	1
-0.746094	0.746094	1
-0.746094	0.746094	1
-0.74349	0.74349	1
-0.74349	0.74349	1
0.72526	0.72526	1
0.72526	0.72526	1
0.717448	0.717448	1
0.717448	0.717448	1
-0.748698	0.748698	1
-0.748698	0.748698	1
-0.75	0.75	1
-0.75	0.75	1
0.71224	0.71224	1
0.71224	0.71224	1
-0.654948	0.654948	1
-0.654948	0.654948	1
-0.658854	0.658854	1
-0.658854	0.658854	1
0.683594	0.683594	1
0.683594	0.683594	1
0.678385	0.678385	1
0.678385	0.678385	1
-0.697917	0.697917	1
-0.697917	0.697917	1
0.683594	0.683594	1
0.683594	0.683594	1
-0.682292	0.682292	1
-0.682292	0.682292	1
0.714844	0.714844	1
0.714844	0.714844	1
-0.686198	0.686198	1
-0.686198	0.686198	1
0.688802	0.688802	1
0.688802	0.688802	1
0.6875	0.6875	1
0.6875	0.6875	1
-0.764323	0.764323	1
-0.764323	0.764323	1
-0.765625	0.765625	1
-0.765625	0.765625	1
-0.764323	0.764323	1
-0.764323	0.764323	1
0.738281	0.738281	1
0.738281	0.738281	1
0.727865	0.727865	1
0.727865	0.727865	1
0.720052	0.720052	1
0.720052	0.720052	1
0.723958	0.723958	1
0.723958	0.723958	1
0.72526	0.72526	1
0.72526	0.72526	1
-0.744792	0.744792	1
-0.744792	0.744792	1
0.723958	0.723958	1
0.723958	0.723958	1
0.721354	0.721354	1
0.721354	0.721354	1
-0.704427	0.704427	1
-0.704427	0.704427	1
0.709635	0.709635	1
0.65625	0.65625	-1
0.658854	0.658854	-1
0.733073	0.733073	1
-0.696615	0.696615	1
-0.696615	0.696615	1
0.763021	0.763021	1
0.763021	0.763021	1
0.761719	0.761719	1
0.761719	0.761719	1
-0.660156	0.660156	1
-0.660156	0.660156	1
0.71224	0.71224	1
0.71224	0.71224	1
-0.652344	0.652344	1
-0.652344	0.652344	1
0.643229	0.643229	1
0.643229	0.643229	1
-0.716146	0.716146	1
-0.716146	0.716146	1
-0.723958	0.723958	1
-0.723958	0.723958	1
0.731771	0.731771	1
0.731771	0.731771	1
-0.652344	0.652344	1
-0.652344	0.652344	1
-0.653646	0.653646	1
0.09375	0.09375	-1
0.0950521	0.0950521	-1
-0.643229	0.643229	1
-0.635417	0.635417	1
-0.635417	0.635417	1
0.669271	0.669271	1
0.669271	0.669271	1
0.670573	0.670573	1
0.22526	0.22526	-1
-0.179688	0.179688	-1
-0.606771	0.606771	1
-0.460938	0.460938	1
-0.0924479	0.0924479	-1
-0.0846354	0.0846354	-1
-0.41276	0.41276	1
-0.417969	0.417969	1
-0.0976562	0.0976562	-1
-0.0963542	0.0963542	-1
-0.528646	0.528646	1
0.540365	0.540365	1
0.222656	0.222656	-1
0.227865	0.227865	-1
0.623698	0.623698	1
-0.68099	0.68099	1
-0.68099	0.68099	1
0.730469	0.730469	1
0.730469	0.730469	1
-0.773438	0.773438	1
-0.773438	0.773438	1
0.703125	0.703125	1
0.703125	0.703125	1
-0.635417	0.635417	1
-0.635417	0.635417	1
0.658854	0.658854	1
0.658854	0.658854	1
0.657552	0.657552	1
0.657552	0.657552	1
-0.670573	0.670573	1
0.608073	0.608073	-1
0.609375	0.609375	-1
0.653646	0.653646	1
-0.621094	0.621094	1
0.203125	0.203125	-1
0.205729	0.205729	-1
-0.523438	0.523438	1
0.673177	0.673177	1
0.673177	0.673177	1
-0.752604	0.752604	1
-0.752604	0.752604	1
