#	 mag	 abs_mag	 b.c.
-0.823333	0.823333	1
-0.823333	0.823333	1
0.725333	0.725333	1
0.725333	0.725333	1
-0.648667	0.648667	1
-0.648667	0.648667	1
-0.651333	0.651333	1
-0.651333	0.651333	1
0.687333	0.687333	1
0.687333	0.687333	1
-0.675333	0.675333	1
-0.675333	0.675333	1
0.664	0.664	1
0.664	0.664	1
-0.636	0.636	1
-0.636	0.636	1
0.677333	0.677333	1
0.677333	0.677333	1
0.675333	0.675333	1
0.675333	0.675333	1
-0.661333	0.661333	1
-0.661333	0.661333	1
0.605333	0.605333	1
0.605333	0.605333	1
0.602667	0.602667	1
0.602667	0.602667	1
-0.686667	0.686667	1
-0.686667	0.686667	1
-0.686	0.686	1
-0.686	0.686	1
-0.684667	0.684667	1
-0.684667	0.684667	1
-0.679333	0.679333	1
-0.679333	0.679333	1
0.682	0.682	1
0.682	0.682	1
-0.674667	0.674667	1
-0.674667	0.674667	1
-0.675333	0.675333	1
-0.675333	0.675333	1
-0.678	0.678	1
-0.678	0.678	1
0.694667	0.694667	1
0.694667	0.694667	1
-0.678667	0.678667	1
-0.678667	0.678667	1
0.692	0.692	1
0.692	0.692	1
-0.723333	0.723333	1
-0.723333	0.723333	1
-0.712	0.712	1
-0.712	0.712	1
-0.713333	0.713333	1
-0.713333	0.713333	1
0.726667	0.726667	1
0.726667	0.726667	1
-0.708	0.708	1
-0.708	0.708	1
0.617333	0.617333	1
0.617333	0.617333	1
-0.688667	0.688667	1
-0.688667	0.688667	1
0.690667	0.690667	1
0.690667	0.690667	1
0.689333	0.689333	1
0.689333	0.689333	1
-0.701333	0.701333	1
-0.701333	0.701333	1
0.648	0.648	1
0.648	0.648	1
-0.711333	0.711333	1
-0.711333	0.711333	1
0.657333	0.657333	1
0.657333	0.657333	1
-0.662667	0.662667	1
-0.662667	0.662667	1
0.686667	0.686667	1
0.686667	0.686667	1
-0.681333	0.681333	1
-0.681333	0.681333	1
0.636667	0.636667	1
0.636667	0.636667	1
0.636	0.636	1
0.636	0.636	1
0.636667	0.636667	1
0.636667	0.636667	1
-0.686667	0.686667	1
-0.686667	0.686667	1
-0.684667	0.684667	1
-0.588	0.588	-1
-0.587333	0.587333	-1
-0.668	0.668	1
0.668	0.668	1
0.668	0.668	1
-0.705333	0.705333	1
-0.705333	0.705333	1
-0.704	0.704	1
-0.704	0.704	1
-0.702667	0.702667	1
-0.702667	0.702667	1
0.706667	0.706667	1
0.706667	0.706667	1
-0.672667	0.672667	1
-0.672667	0.672667	1
0.695333	0.695333	1
0.695333	0.695333	1
0.702667	0.702667	1
0.702667	0.702667	1
0.703333	0.703333	1
0.703333	0.703333	1
-0.664	0.664	1
-0.664	0.664	1
0.676667	0.676667	1
0.676667	0.676667	1
-0.687333	0.687333	1
-0.687333	0.687333	1
-0.686667	0.686667	1
-0.686667	0.686667	1
-0.684	0.684	1
-0.684	0.684	1
0.637333	0.637333	1
0.637333	0.637333	1
0.638	0.638	1
0.638	0.638	1
0.632667	0.632667	1
0.632667	0.632667	1
0.633333	0.633333	1
0.633333	0.633333	1
-0.693333	0.693333	1
-0.693333	0.693333	1
0.686	0.686	1
0.686	0.686	1
0.685333	0.685333	1
0.685333	0.685333	1
-0.694	0.694	1
-0.694	0.694	1
0.718667	0.718667	1
0.718667	0.718667	1
-0.676	0.676	1
-0.676	0.676	1
0.724667	0.724667	1
0.724667	0.724667	1
-0.735333	0.735333	1
-0.735333	0.735333	1
-0.736	0.736	1
-0.736	0.736	1
-0.728667	0.728667	1
-0.728667	0.728667	1
0.713333	0.713333	1
0.713333	0.713333	1
-0.65	0.65	1
-0.65	0.65	1
0.661333	0.661333	1
0.661333	0.661333	1
-0.578	0.578	1
-0.578	0.578	1
-0.579333	0.579333	1
-0.579333	0.579333	1
0.607333	0.607333	1
0.607333	0.607333	1
0.604667	0.604667	1
0.604667	0.604667	1
0.598667	0.598667	1
0.598667	0.598667	1
-0.702667	0.702667	1
-0.702667	0.702667	1
0.652	0.652	1
0.652	0.652	1
-0.627333	0.627333	1
-0.627333	0.627333	1
0.63	0.63	1
0.63	0.63	1
-0.631333	0.631333	1
-0.631333	0.631333	1
-0.632667	0.632667	1
-0.632667	0.632667	1
0.677333	0.677333	1
0.677333	0.677333	1
-0.703333	0.703333	1
-0.703333	0.703333	1
0.674667	0.674667	1
0.674667	0.674667	1
0.677333	0.677333	1
0.677333	0.677333	1
-0.653333	0.653333	1
-0.653333	0.653333	1
0.722667	0.722667	1
0.722667	0.722667	1
-0.678	0.678	1
-0.678	0.678	1
0.691333	0.691333	1
0.691333	0.691333	1
0.694	0.694	1
0.694	0.694	1
-0.639333	0.639333	1
-0.639333	0.639333	1
-0.638667	0.638667	1
-0.638667	0.638667	1
-0.638	0.638	1
-0.178667	0.178667	-1
-0.18	0.18	-1
-0.632667	0.632667	1
0.618667	0.618667	1
0.618667	0.618667	1
-0.662	0.662	1
-0.662	0.662	1
0.602667	0.602667	1
0.602667	0.602667	1
-0.686	0.686	1
-0.686	0.686	1
-0.685333	0.685333	1
-0.685333	0.685333	1
0.706667	0.706667	1
0.706667	0.706667	1
0.704667	0.704667	1
0.704667	0.704667	1
-0.668	0.668	1
-0.668	0.668	1
0.645333	0.645333	1
0.645333	0.645333	1
0.646	0.646	1
0.646	0.646	1
-0.615333	0.615333	1
-0.615333	0.615333	1
-0.614667	0.614667	1
-0.614667	0.614667	1
