#	 mag	 abs_mag	 b.c.
-0.804012	0.804012	1
-0.804012	0.804012	1
0.72338	0.72338	1
0.72338	0.72338	1
0.721451	0.721451	1
0.721451	0.721451	1
0.721836	0.721836	1
0.721836	0.721836	1
-0.697145	0.697145	1
-0.697145	0.697145	1
-0.696759	0.696759	1
-0.696759	0.696759	1
0.676698	0.676698	1
0.676698	0.676698	1
0.677083	0.677083	1
0.677083	0.677083	1
-0.665123	0.665123	1
-0.665123	0.665123	1
-0.664738	0.664738	1
-0.664738	0.664738	1
-0.664352	0.664352	1
-0.664352	0.664352	1
0.626929	0.626929	1
0.626929	0.626929	1
-0.630015	0.630015	1
-0.630015	0.630015	1
0.587963	0.587963	1
0.587963	0.587963	1
0.58912	0.58912	1
0.58912	0.58912	1
0.588735	0.588735	1
0.588735	0.588735	1
0.587963	0.587963	1
0.587963	0.587963	1
-0.611111	0.611111	1
-0.611111	0.611111	1
-0.611497	0.611497	1
-0.611497	0.611497	1
-0.612269	0.612269	1
-0.612269	0.612269	1
-0.595679	0.595679	1
-0.595679	0.595679	1
-0.596065	0.596065	1
-0.596065	0.596065	1
0.537423	0.537423	1
0.537423	0.537423	1
0.537809	0.537809	1
0.537809	0.537809	1
-0.594522	0.594522	1
-0.594522	0.594522	1
0.573302	0.573302	1
0.573302	0.573302	1
-0.592978	0.592978	1
-0.592978	0.592978	1
0.541281	0.541281	1
0.541281	0.541281	1
0.545139	0.545139	1
0.545139	0.545139	1
0.545525	0.545525	1
0.545525	0.545525	1
-0.586034	0.586034	1
-0.586034	0.586034	1
-0.585262	0.585262	1
-0.458333	0.458333	-1
0.48534	0.48534	-1
0.555556	0.555556	1
-0.604167	0.604167	1
-0.604167	0.604167	1
-0.604552	0.604552	1
-0.604552	0.604552	1
0.594136	0.594136	1
0.594136	0.594136	1
-0.619599	0.619599	1
-0.619599	0.619599	1
0.545139	0.545139	1
0.545139	0.545139	1
-0.563272	0.563272	1
-0.563272	0.563272	1
0.552083	0.552083	1
0.552083	0.552083	1
0.552469	0.552469	1
0.552469	0.552469	1
-0.596065	0.596065	1
-0.596065	0.596065	1
-0.595679	0.595679	1
-0.595679	0.595679	1
0.61304	0.61304	1
0.61304	0.61304	1
0.613426	0.613426	1
0.613426	0.613426	1
-0.635802	0.635802	1
-0.635802	0.635802	1
0.668981	0.668981	1
0.668981	0.668981	1
-0.664738	0.664738	1
-0.664738	0.664738	1
0.597994	0.597994	1
0.597994	0.597994	1
0.59838	0.59838	1
0.59838	0.59838	1
-0.611497	0.611497	1
-0.611497	0.611497	1
0.530093	0.530093	1
0.530093	0.530093	1
0.527392	0.527392	1
0.527392	0.527392	1
0.527006	0.527006	1
0.527006	0.527006	1
-0.591049	0.591049	1
-0.591049	0.591049	1
-0.59375	0.59375	1
-0.59375	0.59375	1
0.611883	0.611883	1
0.611883	0.611883	1
-0.610725	0.610725	1
-0.610725	0.610725	1
-0.597222	0.597222	1
-0.597222	0.597222	1
-0.59838	0.59838	1
-0.59838	0.59838	1
0.64159	0.64159	1
0.64159	0.64159	1
0.640432	0.640432	1
0.640432	0.640432	1
-0.68287	0.68287	1
-0.68287	0.68287	1
0.652778	0.652778	1
0.652778	0.652778	1
-0.587577	0.587577	1
-0.587577	0.587577	1
0.612269	0.612269	1
0.612269	0.612269	1
0.612654	0.612654	1
0.612654	0.612654	1
0.613812	0.613812	1
0.613812	0.613812	1
0.613426	0.613426	1
0.613426	0.613426	1
-0.595679	0.595679	1
-0.595679	0.595679	1
-0.599151	0.599151	1
-0.599151	0.599151	1
-0.603781	0.603781	1
-0.603781	0.603781	1
-0.604167	0.604167	1
-0.604167	0.604167	1
-0.603781	0.603781	1
-0.603781	0.603781	1
0.60108	0.60108	1
